name,n_occurences
digital heritage,11
digital history,2
digital holographic microscopy,4
digital holography,6
digital humanities,42
digital illustration,3
digital image,455
digital image analysis,10
digital image correlation,15
digital image processing,329
digital imaging,99
digital learning,3
digital library,146
digital library of mathematical functions,2
digital life,1
digital light processing,21
digital literacy,5
digital living network alliance,1
digital mammography,14
digital manufacturing,8
digital mapping,33
digital marketing,3
digital master,2
digital media,109
digital micromirror device,2
digital microscope,6
digital microscopy,3
digital mockup,4
digital multimedia broadcasting,6
digital painting,38
digital paper,4
digital pathology,9
digital pattern generator,11
digital performance,5
digital photo frame,11
digital photography,137
digital preservation,32
digital printing,26
digital puppetry,9
digital radiography,5
digital recording,6
digital reflex,1
digital removal,2
digital reproduction,2
digital revolution,5
digital rights,2
digital rights management,9
digital scholarship,1
digital sculpting,9
digital sensors,1
digital signage,25
digital signal,6
digital signal processing,55
digital signal processor,14
digital signature,9
digital storytelling,14
digital subscriber line,8
digital subtraction angiography,5
digital television,49
digital terrestrial television,1
digital textbook,2
digital topology,9
digital transformation,10
digital versus film photography,11
digital video broadcasting,14
digital video interactive,2
digital video recording,2
digital visual interface,5
digital watermarking,107
digital watermarking alliance,5
digital zoom,11
digital-to-analog converter,1
digitization,112
dihedral angle,9
dijkstra's algorithm,10
dilatant,2
dilation (morphology),18
dilemma,3
dilution,1
dilution of precision,1
dimension stone,1
dimensional measurement accuracy,1
dimensional modeling,22
dimensional reduction,15
dimensionality reduction,282
dimensioning,9
dimetrodon,1
dimm,1
dimmer,2
dining philosophers problem,1
dinucleoside phosphates,2
diode,1
diophantine equation,1
diorama,8
diphone,3
diplomacy,2
dipole,7
dirac (video compression format),1
dirac delta function,2
direct comparison test,1
direct democracy,1
direct experience,1
direct integration of a beam,1
direct linear transformation,1
direct manipulation interface,16
direct memory access,1
direct method,6
direct methods,3
direct mode,1
direct navigation,2
direct needle,1
direct numerical simulation,5
direct ophthalmoscope,1
direct ophthalmoscopy,1
direct product,1
direct proof,1
direct representation,1
direct simulation monte carlo,1
direct stiffness method,1
direct technique,1
direct torque control,1
direct voice input,2
directdraw,3
directed acyclic graph,34
directed acyclic word graph,1
directed graph,60
directing attention,1
direction cosine,3
direction of arrival,3
direction vector,5
directional derivative,1
directional sound,8
directional statistics,1
directive,2
directivity,4
directory,21
directory information tree,2
directory service,3
directory structure,1
directshow,1
directx,47
directx video acceleration,4
dirichlet boundary condition,1
dirichlet distribution,3
dirichlet process,1
dirt,4
dirty paper coding,1
disadvantage,1
disadvantaged,1
disappointment,2
disarticulation,1
disaster area,3
disaster recovery,1
discernment,3
discipline,21
disconnection,1
discontinuity (linguistics),48
discontinuous galerkin method,7
discontinuous transmission,1
discounted cumulative gain,2
discourse analysis,6
discourse community,1
discoverability,4
discovery learning,1
discovery science,3
discrete choice,2
discrete circuit,1
discrete cosine transform,45
discrete differential geometry,13
discrete dipole approximation,2
discrete element method,8
discrete event dynamic system,3
discrete event simulation,64
discrete exterior calculus,5
discrete fourier transform,8
discrete fourier transform (general),1
discrete frequency domain,1
discrete geometry,22
discrete hartley transform,2
discrete manufacturing,1
discrete mathematics,685
discrete morse theory,2
discrete optimization,9
discrete ordinates method,3
discrete poisson equation,2
discrete sine transform,1
discrete space,7
discrete system,7
discrete time and continuous time,17
discrete tomography,1
discrete transform,1
discrete wavelet transform,28
discrete-time signal,3
discretion,1
discretization,188
discretization error,1
discretization of continuous features,2
discriminant,1
discriminant function analysis,1
discrimination learning,1
discriminative learning,2
discriminative model,57
discriminator,9
discussion group,2
disease,17
disease registry,1
disease surveillance,1
disengagement theory,2
disequilibrium,1
disgust,4
disjoint sets,39
disk array,4
disk buffer,3
disk formatting,31
disk storage,4
dislocation,1
disparate system,14
dispersion (optics),26
dispersion (water waves),9
dispersion relation,1
displacement (fluid),1
displacement (vector),3
displacement field,8
displacement mapping,188
display - arrangement,2
display advertising,1
display aspect ratio,1
display contrast,2
display device,287
display driver,3
display list,9
display postscript,1
display resolution,108
display response,1
display size,76
dispose pattern,2
disposition,3
dispute resolution,1
dissection,7
dissemination,29
dissipation,13
dissipative system,2
dissipator,1
distance,1
distance correlation,1
distance decay,1
distance education,60
distance fog,3
distance from a point to a line,1
distance from a point to a plane,1
distance geometry,1
distance matrices in phylogeny,3
distance matrix,12
distance measures,7
distance transform,128
distillation,2
distinctive feature,1
distortion,480
distortion (music),2
distortion (optics),31
distortion function,1
distortion problem,1
distraction,20
distress,1
distributed active archive center,2
distributed algorithm,39
distributed collaboration,3
distributed component object model,1
distributed computing,1595
distributed computing environment,42
distributed concurrency control,2
distributed control system,1
distributed coordination function,1
distributed data store,17
distributed database,87
distributed design patterns,11
distributed development,1
distributed feedback laser,1
distributed file system,10
distributed generation,1
distributed gis,8
distributed hash table,1
distributed interactive simulation,3
distributed knowledge,3
distributed learning,3
distributed lock manager,2
distributed memory,97
distributed object,17
distributed operating system,2
distributed parameter system,1
distributed ray tracing,250
distributed shared memory,16
distributed source coding,3
distributed system security architecture,1
distributed transaction,1
distribution amplifier,1
distribution function,16
distribution volume,1
distributional semantics,1
distributive property,6
distributor,1
distrust,1
dither,51
diva,3
dive computer,1
divergence,14
divergence theorem,2
divergence-from-randomness model,1
divergent evolution,1
divergent thinking,2
diversification (marketing strategy),7
divide and conquer algorithms,26
divided regions,2
division (mathematics),15
division algorithm,1
division by zero,1
dll injection,1
dna,14
dna binding site,2
dna computing,1
dna microarray,47
dna microarray analysis,1
dna microarray experiment,2
dna nanotechnology,1
dna origami,3
dna profiling,1
dna sequencing,23
dna transposable elements,1
dnam,1
dns spoofing,1
do not track,1
do while loop,1
dock,1
docking (dog),7
docking (molecular),16
doctrine,1
document classification,5
document clustering,28
document engineering,3
document identifier,1
document imaging,3
document layout analysis,17
document management system,9
document object model,13
document processing,17
document retrieval,23
document structure description,9
document type definition,5
document-term matrix,1
documentary evidence,1
documentation,229
dodecagon,1
dodecahedron,4
dodging and burning,1
dollaghan,1
dolly zoom,1
domain adaptation,7
domain analysis,15
domain coloring,1
domain decomposition methods,19
domain engineering,1
domain generation algorithm,2
domain knowledge,95
domain model,12
domain name system,1
domain of a function,1
domain of discourse,1
domain specificity,8
domain-specific language,29
domain-specific modeling,3
dome,10
domestic energy consumption,1
domestic environment,1
domestic market,1
domestic robot,3
domestic technology,1
domestic violence,1
dominance drawing,1
dominating set,1
domination analysis,1
dominion,1
domino,5
domino tiling,1
donation,1
donkey,1
door handle,1
doors,31
doo–sabin subdivision surface,9
doppler effect,14
doppler imaging,1
doppler radar,4
dormancy,1
dorsum,1
dory,8
dosimetry,1
dot distribution map,2
dot gain,11
dot matrix,6
dot pitch,4
dot plot (statistics),6
dot product,14
dot-matrix display,1
dots per inch,3
double athetosis,1
double circle,1
double hashing,2
double integrator,1
double-checked locking,2
double-precision floating-point format,5
doubling time,1
doubly linked face list,1
download,59
downscaling,1
downtime,8
downtown,1
dozen,4
dpvs,1
draco (constellation),1
dracula,2
drag,17
drag and drop,24
dragonfly,1
drainage,2
drainage basin,1
dram,2
drama,12
drama therapy,1
dramatization,1
draw distance,4
drawback,8
drawing board,2
drawing room,1
drawing tasks,3
dreadnoughtus,1
dream,28
dream diary,1
dredging,1
dressing ability,1
dreyfus model of skill acquisition,6
drift velocity,1
drill,15
drill down,30
drilling,12
drive-by download,1
driver safety,1
driving factors,1
driving simulator,25
driving test,1
drmaa,1
drone,6
drop (liquid),25
drop shadow,13
drosophila melanogaster,2
drosophilidae,1
drug,6
drug contraindications,1
drug design,1
drug development,2
drug discovery,8
drug labeling,2
drug repositioning,1
drum,12
drum memory,1
drumhead,1
drums in communication,1
drusen,1
dry eyes,1
dry lab,1
dry needling,1
dry structure,1
drypoint,1
dssp (hydrogen bond estimation algorithm),1
dted,4
dtv receiver,1
dual graph,5
dual pair,1
dual personality,1
dual polygon,14
dual polyhedron,4
dual quaternion,18
dual space,8
dual-energy computed tomography,2
duality (optimization),14
dublin core,2
ductility,1
dummy variable,2
duotone,1
dupin cyclide,2
duplex (telecommunications),2
dusk,3
duty,2
duty cycle,4
dvd player,2
dvd recorder,1
dvd-video,3
dwell time,4
dyadic interaction,1
dyeing,4
dykstra's projection algorithm,10
dynamic adaptive streaming over http,5
dynamic balance,2
dynamic bandwidth allocation,4
dynamic bayesian network,5
dynamic compilation,2
dynamic contrast-enhanced mri,2
dynamic data,91
dynamic demand,2
dynamic dispatch,1
dynamic enterprise,1
dynamic extension,2
dynamic frequency scaling,1
dynamic height,5
dynamic html,2
dynamic imaging,18
dynamic load testing,11
dynamic loading,10
dynamic logic (digital electronics),1
dynamic method,3
dynamic mode decomposition,1
dynamic monte carlo method,13
dynamic network analysis,25
dynamic perfect hashing,3
dynamic priority scheduling,26
dynamic problem,11
dynamic program analysis,1
dynamic programming,87
dynamic random-access memory,6
dynamic range,202
dynamic range compression,8
dynamic relaxation,1
dynamic scaling,1
dynamic scan,2
dynamic similarity,1
dynamic simulation,95
dynamic time warping,23
dynamic tonality,1
dynamic voltage scaling,5
dynamic web page,17
dynamical billiards,4
dynamical friction,1
dynamical simulation,59
dynamical system,21
dynamical systems theory,35
dynamism,6
dynamization,1
dynamo,2
dysarthria,1
dyschromatopsia,1
dysesthesia,1
dysfunctional family,2
dysphagia,1
dystonia,1
dystopia,2
déjà vu,1
e-assessment,1
e-commerce,23
e-democracy,2
e-governance,1
e-government,4
e-participation,2
e-research,2
e-science,12
e-social science,2
eager evaluation,1
eagle,1
ear reconstruction,1
ear structure,1
earliest deadline first scheduling,1
early childhood,1
early childhood education,2
early earth,1
early warning system,3
early world maps,1
earth exploration,1
earth mover's distance,5
earth observation,17
earth remote sensing,1
earth science,18
earth sciences graphics software,1
earth system grid,1
earth system science,4
earth's magnetic field,1
earth's orbit,1
earthing system,1
earthquake engineering,3
earthquake prediction,1
earthquake shaking table,1
earthquake simulation,8
ease of access,1
east-adl,1
eauction,1
eax mode,1
ebxml,2
eccentric,1
eccentricity (behavior),3
ecchymosis,1
echo sounding,1
echo state network,1
echo-planar imaging,1
echogenicity,1
eclipse,10
ecoinformatics,2
ecological footprint,1
ecological succession,5
ecological systems theory,1
ecological validity,1
ecology,10
econometrics,27
economic bubble,1
economic data,6
economic efficiency,1
economic forces,1
economic forecasting,3
economic geography,1
economic globalization,1
economic growth,2
economic impact analysis,1
economic indicator,3
economic methodology,1
economic model,4
economic sector,1
economic shortage,12
economics,21
economics education,1
economies of agglomeration,1
economy,1
ecoregion,1
ecosystem,6
ecosystem approach,2
ecosystem management,2
ecosystem model,3
eddy,5
eddy current,5
eddy current brake,2
eddy-current testing,1
edema,1
edge coloring,3
edge computing,10
edge contraction,8
edge cover,2
edge detection,259
edge device,1
edge enhancement,20
edge loop,1
edge-preserving smoothing,9
edit distance,11
education policy,2
educational assessment,2
educational attainment,1
educational data mining,13
educational evaluation,1
educational institution,3
educational measurement,2
educational program,5
educational psychology,3
educational research,13
educational robotics,6
educational software,28
educational technology,125
eeg findings,1
eeg-fmri,1
eeglab,1
effect of gait parameters on energetic cost,1
effective dimension,2
effective mass (solid-state physics),5
effective mass (spring–mass system),9
effective method,70
effective temperature,1
efficiency factor,1
efficient energy use,32
efficient estimator,1
efficient xml interchange,4
efflorescence,1
egocentrism,1
egyptian arabic,1
ehealth,5
ehrenstein illusion,1
eiffel,1
eigendecomposition of a matrix,2
eigenface,7
eigenfunction,2
eigenvalues and eigenvectors,30
eight million,2
eikonal equation,8
einstein field equations,1
eispack,1
elaboration,8
elaboration likelihood model,1
elastic collision,1
elastic energy,2
elastic map,2
elastic modulus,1
elastic net regularization,2
elastic skin,1
elasticity (economics),23
elasticity (physics),2
elasticity imaging techniques,3
elastography,2
elastomer,1
elbow,2
electric charge,2
electric energy consumption,1
electric field,3
electric generator,1
electric guitar,1
electric light,1
electric machine,1
electric motor,4
electric potential,1
electric potential energy,1
electric power,4
electric power distribution,1
electric power industry,2
electric power system,23
electric power transmission,4
electric shock,1
electric vehicle,3
electric wheelchairs,1
electrical capacitance tomography,12
electrical conductor,3
electrical conduit,1
electrical drawing,1
electrical efficiency,3
electrical element,1
electrical engineering,24
electrical grid,2
electrical impedance,31
electrical impedance tomography,1
electrical load,1
electrical network,2
electrical resistivity tomography,1
electricity,7
electricity generation,3
electricity market,2
electricity meter,1
electricity pricing,1
electro-mechanical modeling,1
electroacoustic music,11
electrocardiography,2
electrode,4
electrode array,3
electrode location,1
electroencephalography,48
electroluminescence,4
electroluminescent display,2
electromagnet,3
electromagnetic coil,2
electromagnetic environment,4
electromagnetic field,3
electromagnetic induction,1
electromagnetic radiation,4
electromagnetic shielding,2
electromagnetic spectrum,1
electromagnetics,6
electromagnetism,1
electromigration,2
electromyography,4
electron,4
electron density,2
electron diffraction,2
electron microscope,14
electron microscope tomography,1
electron paramagnetic resonance,1
electron tomography,3
electron transfer,1
electron-beam lithography,2
electronic business,2
electronic circuit,27
electronic circuit simulation,1
electronic component,4
electronic countermeasure,1
electronic dance music,1
electronic data capture,1
electronic data interchange,23
electronic density,1
electronic design automation,101
electronic dictionary,1
electronic document,14
electronic engineering,231
electronic hardware,1
electronic instruments,2
electronic literature,2
electronic markets,2
electronic media,14
electronic meeting system,2
electronic music,13
electronic packaging,2
electronic paper,3
electronic performance support systems,3
electronic publishing,31
electronic signature,2
electronic speed control,4
electronic structure,3
electronic submission,1
electronic surveillance,1
electronic system-level design and verification,6
electronic trading,3
electronic visual prosthesis,1
electronic warfare,2
electronics,41
electrooculography,3
electrophoreses,1
electrophysiology,5
electrorheological fluid,1
electrostatic motor,1
electrostatic plotter,1
electrostatics,5
electrovibration,12
elegance,12
elementary algebra,1
elementary charge,1
elementary cognitive task,4
elementary event,1
elementary function,2
elementary mathematics,1
elementary proof,1
elementary symmetric polynomial,1
elephant trunks,1
elevation,114
elevator,1
eleventh,2
elimination theory,1
elite,1
ellipse,37
ellipsoid,31
ellipsoid method,1
ellipsometry,2
elliptic coordinate system,1
elliptic curve,3
elliptic geometry,1
elliptic integral,1
elliptic orbit,1
elliptic partial differential equation,2
elliptic surface,1
elongation,1
elysium,2
em,1
emage,1
email address harvesting,1
email authentication,1
email management,1
email spoofing,1
embarrassingly parallel,10
embedded controller,3
embedded java,1
embedded operating system,2
embedded software,4
embedded system,464
embeddedness,1
embedding,137
ember,1
emblem,1
embodied agent,19
embodied cognition,61
embossing,5
embrasure,2
embryo,3
embryogenesis,1
emergency department,1
emergency evacuation,1
emergency management,22
emergency medical services,1
emergency medicine,4
emergency vehicle,1
emergent curriculum,2
emergent gameplay,7
emergent grammar,1
emerging technologies,63
emission computed tomography,1
emission spectrum,1
emissivity,2
emix,1
emoji,5
emoticon,3
emotion classification,13
emotion perception,1
emotion recognition,21
emotional expression,19
emotional intelligence,1
emotive,11
empathy,8
emperor,1
empire,6
empirical evidence,13
empirical measure,1
empirical modelling,3
empirical process (process control model),3
empirical relationship,1
empirical research,105
empirical risk minimization,1
empiricism,1
employability,1
empowerment,5
emptiness,2
emulation,24
enabling,2
enactivism,1
enamel paint,2
enantiomer,1
encapsulated postscript,5
encapsulation (computer programming),6
enclosure,7
encode,13
encoder,90
encoding (memory),145
encryption,44
encyclopedia,13
encyclopedia of life,1
end diastole,1
end user,135
end-to-end delay,1
end-to-end principle,19
end-user computing,9
end-user development,7
endangered species,4
endmember,1
endocentric and exocentric,4
endocytic process,2
endoderm,1
endometrial resection,1
endomicroscopy,2
endoscope,24
endoscopic camera,9
endoscopic endonasal surgery,1
endoscopy,28
endovascular aneurysm repair,1
endovascular interventions,1
endovascular surgery,1
energetics,1
energy (signal processing),1
energy accounting,1
energy balance,5
energy budget,5
energy cascade,1
energy conservation,11
energy consumption,56
energy flow,1
energy flux,1
energy functional,6
energy informatics,1
energy landscape,2
energy level,1
energy management,6
energy management system,1
energy minimization,46
energy modeling,2
energy planning,2
energy poverty,1
energy storage,1
energy supply,1
energy transfer,7
energy transformation,1
enforcement,7
engine control unit,1
engine coolant temperature sensor,1
engine department,1
engine displacement,3
engineering,1442
engineering analysis,5
engineering and physical sciences,1
engineering design process,149
engineering drawing,140
engineering education,32
engineering ethics,1
engineering informatics,2
engineering management,12
engineering mathematics,1
engineering optimization,3
engineering physics,19
engineering psychology,1
engineering research,6
engineering studies,2
engineering support,1
engraving,20
enhance (action),1
enhanced data rates for gsm evolution,1
enhanced graphics adapter,1
enhanced variable rate codec,1
enhancer,1
ensembl,2
ensemble forecasting,5
ensemble kalman filter,1
ensemble learning,12
enterprise 2.0,1
enterprise architecture,3
enterprise architecture framework,1
enterprise architecture management,1
enterprise data management,4
enterprise digital assistant,1
enterprise gis,24
enterprise information integration,1
enterprise information system,6
enterprise integration,1
enterprise life cycle,1
enterprise modelling,5
enterprise planning system,1
enterprise portal,3
enterprise private network,4
enterprise resource planning,4
enterprise risk management,1
enterprise software,4
enterprise system,4
enterprise systems engineering,1
entertainment,175
entertainment technology,8
enthusiasm,3
entire arm,1
entire brain,1
entire cell,1
entire colon,3
entire face,2
entire forearm,1
entire hand,1
entire head,3
entire human body,2
entire intestine,1
entire long bone,1
entire retina,1
entitlement,1
entity linking,4
entity–relationship model,9
entrainment (chronobiology),1
entrepreneurship,4
entrez,1
entropy (information theory),7
entropy encoding,13
entropy maximization,2
entry level,2
entry point,7
entryway,2
enumeration,11
envelope detector,1
environment problem,1
environmental analysis,1
environmental art,1
environmental change,4
environmental data,18
environmental design,2
environmental engineering,5
environmental ethics,1
environmental graphic design,7
environmental health,1
environmental impact assessment,5
environmental impact of aviation,1
environmental impact of the energy industry,2
environmental limitations,1
environmental management system,1
environmental model,2
environmental monitoring,11
environmental noise,2
environmental planning,4
environmental pollution,4
environmental protection,1
environmental psychology,1
environmental resource management,13
environmental science,24
environmental sensor,1
environmentalism,1
environmentally friendly,5
enzyme interaction,1
eosdis,2
ephemera,1
ephemeral key,9
epiboly,2
epic,21
epicenter,1
epicycloid,2
epidemic model,1
epidemiology,5
epigenetics,1
epigenome,1
epigenomics,3
epigraphy,1
epilepsy,3
epilepsy surgery,1
epileptic seizure,1
epipolar geometry,139
episodic memory,5
epistasis,4
epistemology,11
epistemology of wikipedia,1
epitome,3
epitrochoid,1
epoll,1
epsilon photography,1
equal temperament,1
equalization,2
equalization (audio),4
equalizer,3
equating,1
equation solving,2
equations of motion,21
equiangular polygon,2
equidistant,5
equidistributed sequence,1
equilateral polygon,13
equilateral triangle,5
equilibrium level,1
equirectangular projection,11
equity (finance),2
equivalence (measure theory),14
equivalence class,8
equivalence of metrics,1
equivalence relation,5
equivalent circuit,1
equivariant map,2
equus,1
erasure,5
erasure code,1
erect image,1
ergodic theory,1
ergodicity,1
ericsson texture compression,1
erlangen program,2
erosion,10
erosion control,1
error analysis for the global positioning system,1
error bar,3
error concealment,2
error detection and correction,52
error diffusion,25
error floor,2
error function,12
error management,1
error threshold,4
error-driven learning,3
errors-in-variables models,1
erythema,1
escape velocity,1
escher,13
escherichia coli proteins,1
esophagus,1
esophagus wall,1
espace,2
essential bandwidth,2
essential tremor,1
essynth,1
estate,1
esthesic and poietic,1
estimated time of arrival,1
estimation,5
estimation of distribution algorithm,4
estimation theory,47
estimator,63
estuary,1
etching,3
etfe,1
ethernet,8
ethics of technology,1
ethnic group,2
ethnography,3
ethnology,1
ethology,1
ethos,1
etoys,3
euclidean distance,51
euclidean geometry,31
euclidean group,1
euclidean space,37
euclidean vector,29
eugenics,1
eukaryotic chromosome fine structure,1
euler angles,3
euler characteristic,2
euler diagram,17
euler equations,2
euler method,2
euler number,1
euler operator,1
euler tour technique,1
euler's formula,15
euler's totient function,1
eulerian path,26
euler–lagrange equation,1
european combined geodetic network,1
european landscape convention,1
european portuguese,1
european robotic arm,1
european union,23
eval,1
evaluation function,8
evaluation strategy,1
evaporation,4
evapotranspiration,2
evening,8
event (computing),5
event calculus,1
event correlation,4
event data recorder,1
event horizon,2
event loop,3
event structure,1
event study,1
event tree analysis,1
event type,2
event-driven programming,7
eventual consistency,1
every morning,2
everyday life,28
everything is a file,1
evidence-based design,1
evidence-based medicine,4
evidence-based practice,4
evidential reasoning approach,3
evocation,1
evolution strategy,6
evolutionary algorithm,57
evolutionary art,15
evolutionary computation,64
evolutionary dynamics,1
evolutionary music,7
evolutionary programming,3
evolutionary systems,1
evolvability,2
evolving networks,5
ewald's sphere,1
exact algorithm,4
exact differential,1
exact solutions in general relativity,2
exact test,1
exaggeration,25
exaggeration method,2
exaggeration technique,2
examination procedure,1
examination tables,1
examining eye,1
example-based machine translation,1
examples of differential equations,1
exascale computing,7
excavation,27
excavator,1
excellence,11
exception handling,1
exchange of information,5
excitation,3
excited state,3
exciter,1
excuse,2
executable,43
execution model,8
execution unit,2
executive information system,2
executive summary,2
executor,2
exemplification,1
exercise regimes,1
exertion,2
exhibit design,1
exhibition,162
existential quantification,6
existentialism,2
exome,2
exome sequencing,1
exon,1
exoplanet,1
exoskeleton,6
exoskeleton device,2
expansion card,1
expansive,5
expectancy theory,2
expectation propagation,2
expectation–maximization algorithm,28
expected return,1
expected utility hypothesis,1
expected value,4
expediting,3
experience architecture,1
experience design,23
experience sampling method,1
experiential education,1
experiential knowledge,2
experiential learning,39
experimental archaeology,1
experimental architecture,1
experimental brain research,1
experimental data,95
experimental finding,1
experimental mathematics,2
experimental system,47
expert system,60
expert witness,1
explained sum of squares,1
explained variation,1
explanatory power,1
explication,1
explicit and implicit methods,2
explicit formulae,1
explicit knowledge,9
explicit parallelism,1
explicit semantic analysis,1
exploded-view drawing,1
exploit,406
exploration of mars,8
exploratory behaviour,1
exploratory data analysis,122
exploratory factor analysis,1
exploratory programming,2
exploratory research,24
exploratory search,15
explosive material,7
exponent,1
exponential decay,4
exponential distribution,2
exponential family,2
exponential function,14
exponential growth,4
exponential integral,1
exponential integrator,2
exponential map (riemannian geometry),3
exponential smoothing,1
exponential stability,5
exponentiation,3
export of cryptography,1
expose,1
exposing to the right,2
exposure,7
exposure assessment,1
exposure compensation,1
exposure fusion,9
exposure latitude,1
exposure technique,3
exposure therapy,4
exposure value,3
expressed emotion,3
expressing emotion,1
expression (mathematics),183
expression cloning,1
expression quantitative trait loci,1
expression templates,1
expressive power,14
expressivity,68
extant taxon,7
extendable class,1
extended data services,1
extended finite element method,5
extended finite-state machine,1
extended kalman filter,13
extended memory,1
extended precision,2
extended wordnet,1
extensibility,183
extensible programming,12
extension method,3
extension topology,1
extensional definition,1
extensive reading,1
exterior algebra,2
exterior derivative,1
exterior space,1
external camera,7
external data representation,177
external defibrillators,1
external image,3
external injury,1
external ray,2
external sorting,3
external storage,2
external validity,1
external variable,1
externalization,4
extracellular,2
extracellular matrix,1
extractor,1
extranet,1
extraocular muscles,1
extrapolation,47
extraterrestrial life,2
extraversion and introversion,2
extremal length,1
extreme learning machine,5
extreme ultraviolet lithography,1
extreme value theory,1
extreme weather,3
extremely good,1
extremely hard,1
extremely helpful,3
extremely high frequency,5
extrusion,1
eye beam,1
eye closure,1
eye contact,15
eye displacement,2
eye fatigue,6
eye measurements,1
eye movement,108
eye movement measurements,1
eye physiology,1
eye reconstruction,2
eye shadow,2
eye surgeon,1
eye surgery,1
eye tracking,449
eye tracking on the iss,18
eyeball movements,2
eyebrow,6
eyeglass prescription,1
eyelash,2
eyelid,8
eyepiece,2
eyestrain,8
eyetap,5
eyewear,13
eye–hand coordination,6
fable,1
fabric structure,2
fabrication,58
facade,45
facade engineering,1
face (geometry),11
face card,1
face detection,138
face hallucination,33
face masks,1
face perception,4
face presentation,1
face recognition grand challenge,3
face space,6
face structure,1
face validity,3
face value,1
face-to-face,7
face-to-face interaction,5
facet (geometry),16
faceted search,3
faceting,3
facial action coding system,14
facial bone,1
facial characteristic,1
facial composite,2
facial expression,253
facial feedback hypothesis,1
facial hair,3
facial lacerations,1
facial motion capture,214
facial muscles,24
facial nerve,2
facial paralysis,1
facial recognition system,250
facial reconstruction,10
facial region,5
facial skeleton,1
facial symmetry,2
facial tissue,9
facial wrinkles,2
facies,1
facilitation,3
facilitator,3
facility location problem,8
facility management,3
facsimile,15
fact table,1
factor analysis,2
factor graph,3
factor of safety,1
factorial,1
factoring,1
factorization,35
factory,17
faculty development,2
fade,6
fading,13
fail-safe,1
failure assessment,1
failure mode and effects analysis,4
failure rate,4
failure semantics,1
failure transparency,1
fair queuing,1
fair-share scheduling,6
fairly often,3
fairness measure,1
faith,1
faithful representation,2
fake news,1
falcon,8
fall of man,1
false alarm,3
false color,53
false discovery rate,4
false positive paradox,9
false positive rate,2
false positives and false negatives,2
false recognition,3
false sharing,2
falsifiability,1
familiar environment,3
familiar stranger,1
family activities,1
family centered care,1
family medicine,2
family of curves,7
family portrait,2
family traditions,1
family tree,2
family-based qtl mapping,1
fan fiction,1
fandango,1
fantasy,38
far distance,3
far infrared,1
far point,2
far side of the moon,1
far-infrared laser,1
faraday cage,1
fascia,1
fashion design,2
fast ethernet,2
fast fashion,1
fast fourier transform,38
fast fracture,1
fast inverse square root,1
fast mapping,1
fast marching method,6
fast multipole method,10
fast path,6
fast wavelet transform,2
fast-moving consumer goods,1
fasta format,1
fastica,1
fat client,13
fathom,1
fatigue symptoms,1
fault (geology),3
fault coverage,3
fault detection and isolation,16
fault injection,10
fault management,1
fault model,2
fault tolerance,42
fault tree analysis,4
fauna,1
faust,4
favicon,2
favourite,1
faà di bruno's formula,1
fear of falling,1
feasible region,3
feather,9
feathering,4
feature (computer vision),161
feature (machine learning),6
feature data,14
feature dataset,1
feature detection,34
feature detection (computer vision),221
feature dimension,3
feature engineering,1
feature extraction,897
feature geometry,2
feature hashing,3
feature learning,9
feature model,6
feature phone,1
feature recognition,12
feature scaling,2
feature selection,80
feature structure,1
feature vector,132
fed model,1
federal budget,4
federal information processing standards,1
federal republic,1
federated architecture,1
feed forward,18
feedback arc set,1
feedback linearization,4
feedback loop,22
feedback passivation,2
feedback vertex set,1
feedforward neural network,7
feeling,143
fell,2
femoral artery,1
femoral head,1
femtosecond,3
fencing,3
fenestration,2
feret,1
feret database,2
fermat's last theorem,2
fermat's principle,1
ferrocene,1
fertilizer,1
fetal examination,1
fetal face,1
fetch,6
feynman diagram,1
fiber,34
fiber bundle,3
fiber distributed data interface,1
fiber-optic communication,1
fiberboard,1
fibonacci number,4
fiction theory,1
fictional universe,3
fictitious force,1
fidelity,143
fiducial marker,97
field (computer science),3
field (physics),1
field dependence,1
field equation,1
field experiment,6
field inversion gel electrophoresis,1
field line,16
field of view,315
field pattern,1
field research,2
field strength,1
field trial,1
field trip,4
field-effect transistor,1
field-programmable gate array,125
fifo (computing and electronics),2
fifteenth,4
fifth generation computer,1
fifth-generation programming language,9
fight-or-flight response,1
figure of merit,7
figure–ground,4
figuring,3
file carving,4
file format,93
file server,13
file sharing,5
file size,19
file system,27
file system fragmentation,1
file transfer,1
file transfer protocol,4
fillet (mechanics),2
filling problem,1
filling-in,14
fillrate,4
film analysis,3
film director,10
film editing,4
film editor,3
film frame,2
film genre,2
film grain,9
film grammar,2
film industry,13
film plane,2
film studies,3
film theory,3
filmmaking,35
filter (function),2
filter (signal processing),518
filter (software),2
filter (video),3
filter bank,11
filter design,21
filter driver,1
filtered algebra,2
fin,1
final product,4
finalization,1
finance,30
financial accounting,1
financial analysis,4
financial asset,1
financial crisis,1
financial economics,3
financial institution,2
financial instrument,3
financial management,7
financial market,7
financial modeling,4
financial risk,2
financial services,1
financial statement,1
financial system,1
financial transaction,2
findability,2
fine art,52
fine motor skill,1
fine print,1
fine-art photography,2
fine-tuning,12
finesse,1
finger joint,1
finger surface,3
finger temperature,1
finger tracking,24
finger vein recognition,2
finger-flicking,3
fingerprint,12
fingerprint recognition,9
fingerprint verification competition,2
fingerspelling,1
finite difference,15
finite difference method,6
finite element exterior calculus,1
finite element method,296
finite field,1
finite geometry,1
finite impulse response,11
finite set,17
finite state transducer,1
